"","ConditionC...ConditionA","ConditionC...ConditionB","ConditionC...ConditionD","ConditionA...ConditionB","ConditionA...ConditionD","ConditionB...ConditionD","AveExpr","F","P.Value","adj.P.Val"
"Oxidative phosphorylation_Homo sapiens_hsa00190",0.774507361250651,-0.150378340766181,-0.16860510555437,-0.924885702016832,-0.943112466805021,-0.0182267647881893,0.0544279245780828,161.372820420349,9.53011312282184e-10,2.77326291874115e-07
"Renin-angiotensin system_Homo sapiens_hsa04614",0.231772729530462,1.19067759446485,0.972179429363325,0.958904864934392,0.740406699832862,-0.21849816510153,-0.015922051564274,125.161269264864,4.00510558310441e-09,3.39768453594627e-07
"Galactose metabolism_Homo sapiens_hsa00052",0.108844733718518,0.946060089106857,0.71841907094667,0.837215355388338,0.609574337228152,-0.227641018160186,0.010100786891906,124.695864534489,4.08996636391019e-09,3.39768453594627e-07
"Synaptic vesicle cycle_Homo sapiens_hsa04721",1.10382521436653,0.918582999539868,0.510471040515615,-0.185242214826662,-0.593354173850915,-0.408111959024253,-0.0156903069358624,121.788914605375,4.67035675044161e-09,3.39768453594627e-07
"Parkinson's disease_Homo sapiens_hsa05012",0.545821362496123,-0.315701060188628,-0.205064652919937,-0.861522422684751,-0.75088601541606,0.110636407268691,0.0233025712440283,116.682405884495,5.94133092523069e-09,3.45219367864424e-07
"Lysosome_Homo sapiens_hsa04142",0.646792481305723,0.881659896018827,0.800255384331615,0.234867414713104,0.153462903025892,-0.0814045116872122,-0.043254244538491,110.667873480911,7.99509975966333e-09,3.45219367864424e-07
"Pentose phosphate pathway_Homo sapiens_hsa00030",0.255812438517822,0.918580018688969,0.513199864771853,0.662767580171147,0.257387426254031,-0.405380153917116,0.0187771957466819,109.921206371986,8.30424596237447e-09,3.45219367864424e-07
"Rheumatoid arthritis_Homo sapiens_hsa05323",0.757250814551054,1.01123572015774,0.874644301519458,0.253984905606682,0.117393486968404,-0.136591418638278,-0.0426741547000198,104.147072364228,1.1232575550134e-08,4.08584935636123e-07
"Fatty acid degradation_Homo sapiens_hsa00071",0.720826463412275,-0.145575572874971,0.65606773989058,-0.866402036287245,-0.0647587235216946,0.801643312765551,-0.02346040980777,99.7175402053623,1.43199384569419e-08,4.6301134344112e-07
"Asthma_Homo sapiens_hsa05310",0.494836761649813,1.17503746659246,1.17142073235253,0.680200704942652,0.676583970702712,-0.00361673423993936,-0.0515669567628226,94.8181585149526,1.89652560350557e-08,5.15628639074432e-07
"Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280",0.480236642337388,-0.435736865908566,0.306421664580083,-0.915973508245954,-0.173814977757305,0.74215853048865,-0.0455043153604273,94.3537380788435,1.94911169409579e-08,5.15628639074432e-07
"Phagosome_Homo sapiens_hsa04145",0.702915775588239,0.793795409409887,0.774597481296816,0.0908796338216473,0.0716817057085768,-0.0191979281130705,-0.0363981763108111,90.4510025348433,2.46560434328836e-08,5.68819300255296e-07
"Thyroid hormone synthesis_Homo sapiens_hsa04918",0.160803287390836,0.817448254944989,0.774720625182248,0.656644967554153,0.613917337791412,-0.0427276297627413,0.0107272989856959,89.961467286732,2.54111714890682e-08,5.68819300255296e-07
"Ribosome_Homo sapiens_hsa03010",-0.249009541498429,-0.260723139590762,-1.07796019955835,-0.011713598092333,-0.828950658059919,-0.817237059967586,-0.0489298113923569,87.838192534163,2.90167786095305e-08,6.03134469669526e-07
"Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932",0.5345347614359,-0.206975071161728,-0.144843814491395,-0.741509832597628,-0.679378575927295,0.0621312566703331,0.0216876338383992,85.8082935376961,3.30366840039326e-08,6.21929191566769e-07
"Gastric acid secretion_Homo sapiens_hsa04971",0.319265502313386,0.71315735348355,0.701686800766414,0.393891851170164,0.382421298453028,-0.0114705527171356,-0.0233700829152081,85.2765186942069,3.41954194675887e-08,6.21929191566769e-07
"Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520",0.036813981513889,0.683324922169077,0.499131330521761,0.646510940655188,0.462317349007872,-0.184193591647316,0.00132455837917016,83.8482318307426,3.75512547848754e-08,6.42789126023455e-07
"Other glycan degradation_Homo sapiens_hsa00511",0.425635773638338,1.22851385191709,1.10739866377761,0.802878078278748,0.681762890139274,-0.121115188139474,-0.0254788116175191,82.7595314341018,4.0370122046245e-08,6.52650306414294e-07
"Antigen processing and presentation_Homo sapiens_hsa04612",0.0724871187969715,0.71557272038349,0.867248523609083,0.643085601586518,0.794761404812111,0.151675803225593,0.0139511751348861,81.5781487345687,4.37139719497617e-08,6.69513991441087e-07
"Osteoclast differentiation_Homo sapiens_hsa04380",0.28758620701737,0.641508254632773,0.800201519879765,0.353922047615404,0.512615312862395,0.158693265246991,0.00171732585129478,80.1554929148153,4.81810334848773e-08,7.01034037204964e-07
"Fatty acid metabolism_Homo sapiens_hsa01212",0.649067335426238,0.0294287089202594,0.762226791805392,-0.619638626505979,0.113159456379154,0.732798082885132,-0.00740234432452651,74.303021242498,7.3206068777346e-08,1.01442695305751e-06
"Shigellosis_Homo sapiens_hsa05131",0.258730988972386,0.788595256460436,0.845596240488457,0.52986426748805,0.586865251516072,0.0570009840280213,0.00419227798161167,73.5136295289938,7.76394377089238e-08,1.02695801696804e-06
"Neurotrophin signaling pathway_Homo sapiens_hsa04722",0.325075413553972,0.613097660153741,0.743179201264561,0.288022246599769,0.418103787710589,0.13008154111082,-0.0181195280113387,67.2278213982456,1.26820004109269e-07,1.60454874764336e-06
"Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666",0.524364056672712,0.842826649484943,0.621282452728586,0.318462592812231,0.0969183960558744,-0.221544196756356,-0.00475599415162182,64.6660060598835,1.56846010140506e-07,1.83301237420931e-06
"Retrograde endocannabinoid signaling_Homo sapiens_hsa04723",0.476067100860213,0.705523858489218,0.808905174942245,0.229456757629006,0.332838074082033,0.103381316453027,-0.0214458128768281,64.6186263213358,1.57475289880525e-07,1.83301237420931e-06
"Platelet activation_Homo sapiens_hsa04611",-0.0113194491517358,0.34524219993562,0.667901490770831,0.356561649087356,0.679220939922567,0.322659290835211,0.0186213281477297,63.3360603986804,1.75689570109303e-07,1.96637172699258e-06
"Toxoplasmosis_Homo sapiens_hsa05145",0.335165685664723,0.360393680222985,0.688379322904796,0.0252279945582627,0.353213637240073,0.32798564268181,-0.00487453721232435,56.8758392582851,3.15348921900279e-07,3.32803151609341e-06
"Porphyrin and chlorophyll metabolism_Homo sapiens_hsa00860",0.0506774815181285,-0.496114715747764,-0.778945390263131,-0.546792197265893,-0.829622871781259,-0.282830674515367,-0.00351596657891272,56.7150361869253,3.20222963747819e-07,3.32803151609341e-06
"Regulation of actin cytoskeleton_Homo sapiens_hsa04810",0.193136788923534,0.62184022248045,0.581156823212075,0.428703433556916,0.388020034288541,-0.0406833992683751,0.00517362018878083,54.9933322114502,3.78351326531882e-07,3.40349664211963e-06
"Cholinergic synapse_Homo sapiens_hsa04725",0.368997515385299,0.642125099466587,0.744513205175526,0.273127584081288,0.375515689790227,0.102388105708939,-0.0244862862821448,54.8830668382985,3.82477903873014e-07,3.40349664211963e-06
